car_id,price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Registered city
icwAaDOmX573WiRRnLFPT237,2812500,Petrol,Automatic,Toyota,Corolla,2004,Silver,Nigerian Used,251732,1800,Registered,Registered,Unknown,Unknown
ByZ3NlPy2x0arAIyrKazClUS,5000000,Petrol,Automatic,Acura,MDX,2007,Green,Foreign Used,224589,3700,Imported,Imported,SUV,Unknown
2zG6Mh3kwyoTvWoeKHkV1oFH,7592000,Petrol,Automatic,Acura,TL,2012,White,Foreign Used,111334,3500,Imported,Imported,Sedan,Unknown
7APLHOPlI93qsYK0ST4D4wB2,9880000,Petrol,Automatic,Land Rover,Range Rover,2012,Gray,Nigerian Used,72682,4000,Registered,Imported,SUV,Unknown
zIrIDPJLd46eRQf9JFacc0e,4160000,Petrol,Automatic,Ford,Edge,2013,Gray,Nigerian Used,92118,3500,Registered,Registered,SUV,Lagos
cXCDdlfYhkTgnpxVlSqsiBWz,5250000,Petrol,Automatic,Acura,ZDX,2010,White,Nigerian Used,93991,3700,Registered,Imported,SUV,LAGOS
3Lh1di00mSJudNaHWxOrn1L2,16640000,Petrol,Automatic,Lexus,GX,2011,Red,Nigerian Used,122987,4800,Registered,Registered,SUV,Abuja
7ytxLUCMQ5bWIly5x5EOrMdG,7980000,Petrol,Automatic,Lexus,GS,2013,Gray,Nigerian Used,94469,3500,Registered,Registered,Sedan,Unknown
fYxBktHsYw4js3ZgJnHwl2zU,3885000,Petrol,Automatic,Toyota,Camry,2007,Gold,Foreign Used,159726,3000,Imported,Imported,Unknown,Unknown
oGK8lzkToaZZz9BklAkx1ull,13000000,Petrol,Automatic,Mercedes-Benz,GLK-Class,2015,White,Foreign Used,138202,3500,Imported,Imported,SUV,Unknown
p2ie9iYOamIlpP6wyVmKi3d5,3432000,Petrol,Automatic,Toyota,Camry,2011,Black,Nigerian Used,128048,2500,Registered,Imported,Unknown,Unknown
8Zxki4qLpwloj8iR2vPf2DIU,14560000,Petrol,Automatic,Mercedes-Benz,M Class,2012,Blue,Foreign Used,329589,3500,Imported,Imported,SUV,Unknown
aea4KMjSxWHrfT4BG9UjZ36y,16800000,Petrol,Automatic,Mercedes-Benz,GL-Class,2015,White,Nigerian Used,56233,3000,Registered,Imported,SUV,LAGOS
kl0FXS6SPkB6MriRFOWOSq03,10500000,Petrol,Automatic,Land Rover,Range Rover Vogue,2011,White,Nigerian Used,70858,4200,Registered,Brand new,SUV,Lagos
aa8nq9ZiuiVXOMzlxJvdOPUK,3990000,Diesel,Manual,Lancia,Thesis,2007,White,Foreign Used,214524,2800,Imported,Imported,Unknown,Unknown
8wBhIzD8AlTUaM3AaCrS4jvN,9135000,Petrol,Automatic,Toyota,HiAce,2011,Silver,Foreign Used,31234,2700,Imported,Imported,Unknown,Unknown
kSZFKIYI0KAZDYEhhk7aNvYP,3328000,Petrol,Automatic,Lexus,ES,2005,Blue,Nigerian Used,205914,3300,Registered,Registered,Unknown,LAGOS
uzW7BZeKaIdBbBdrjCFG4hto,13520000,Petrol,Automatic,Toyota,Camry,2018,Black,Nigerian Used,68871,3500,Registered,Imported,Sedan,Abuja
yx5r7XdqcyXuR6OBdXsSUnqS,3640000,Petrol,Automatic,Toyota,Corolla,2004,Black,Foreign Used,277779,1800,Imported,Imported,Unknown,Unknown
7v2JDzdul3aS0gN2Jm3tXQVg,9000000,Petrol,Automatic,Land Rover,Range Rover,2012,Brown,Foreign Used,115,4900,Imported,Imported,SUV,Unknown
41wzkRg4eLeMtxN8dKr7ekvo,8839995,Petrol,Automatic,Toyota,Highlander,2010,Black,Foreign Used,138164,3500,Imported,Imported,SUV,Unknown
ieLMYnMNQwiMNKwAKTJGhaZa,13208000,Petrol,Automatic,Toyota,Camry,2018,Gray,Nigerian Used,40928,2500,Registered,Imported,Unknown,Unknown
BqilcF2Tee4V9sW57oVcIaJe,3120000,Petrol,Automatic,Toyota,Highlander,2004,Gold,Nigerian Used,335734,3300,Registered,Registered,SUV,Unknown
iMlUfnetc1gD9gV83W6mX3VI,39900000,Petrol,Automatic,Land Rover,Range Rover,2016,White,Nigerian Used,47555,3000,Registered,Registered,SUV,LAGOS
